Column,Field,Description,Column_type
1 / A,site,ForestGEO site name (cfull site name or abbreviated),character
2 / B,family,"Plant family name revised in Taxonomic Name Resolution Services (TNRS), an online free tool for correcting and standardizing plant names.",character
3 / C,genus,Plant genus name,
4 / D,species,"Plant specific name or epithet. When referring to a plant in a genus if the individual was not identified at the speices level, we use 'sp.' If an epithet is precedeed by the letter 'x' it indicates an hybrid form (i.e. Tilia x europaea)",
5 / E,variety,Variation recognized within a species,
6 / F,subspecies,Subspecies recogized within a species,
7 / G,latin_name,"Plant name as used by Forestgeo sites (names corrected here using TNRS, when neccesary)",character
9 / I,species_code,"Species code used at the ForestGEO site, variable per site, even if representing same species.",character
10 / J,life_form,Common growth form for a given plant species,character
11 / K,warning,"Informative notes, sometimes critical for biomass calculation",character
